country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FR	France	w019	Week 19	1062	287	13668039	5010896	78094	13964
FR	France	w018	Week 18	1285	357	16159676	6865560	97913	19100
FR	France	w017	Week 17	1494	424	10215213	4076772	63921	10492
FR	France	w016	Week 16	1809	618	14123667	5717732	102421	14725
FR	France	w015	Week 15	2566	1000	22644577	8759890	169301	30288
FR	France	w014	Week 14	2607	1026	20911572	7858566	211587	29039
FR	France	w013	Week 13	2138	877	20464519	7446935	188185	30506
FR	France	w012	Week 12	2066	783	22369897	8563620	189146	24772
FR	France	w011	Week 11	1563	554	21743406	8783988	181360	29627
FR	France	w010	Week 10	1203	436	15355751	5942435	134684	24596
