week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w019	Week 19	2019-05-06	2019-05-12	BE	Belgium	3832	449	98750930	36393399	646883	106157
w018	Week 18	2019-04-29	2019-05-05	BE	Belgium	3142	472	68248427	27435857	477390	93400
w017	Week 17	2019-04-22	2019-04-28	BE	Belgium	2740	493	43657929	16892936	311126	56499
w016	Week 16	2019-04-15	2019-04-21	BE	Belgium	2494	548	29369474	11122153	212252	34667
w015	Week 15	2019-04-08	2019-04-14	BE	Belgium	2260	698	20715345	7646963	136944	21612
w014	Week 14	2019-04-01	2019-04-07	BE	Belgium	1739	682	12006372	4314798	82425	10947
w013	Week 13	2019-03-25	2019-03-31	BE	Belgium	1329	529	9309768	3401191	56228	9050
w012	Week 12	2019-03-18	2019-03-24	BE	Belgium	1173	474	11191767	4397623	70247	12020
w011	Week 11	2019-03-11	2019-03-17	BE	Belgium	779	347	5936728	2185099	43238	7307
w010	Week 10	2019-03-04	2019-03-10	BE	Belgium	626	260	10016719	3948051	79028	14543
w009	Week 9	2019-02-25	2019-03-03	BE	Belgium	280	135	1148653	380506	10774	2025
w008	Week 8	2019-02-18	2019-02-24	BE	Belgium	221	104	761486	228320	4600	514
w007	Week 7	2019-02-11	2019-02-17	BE	Belgium	143	81	1120635	460600	4831	711
w006	Week 6	2019-02-04	2019-02-10	BE	Belgium	146	74	1630425	634941	11676	2231
w005	Week 5	2019-01-28	2019-02-03	BE	Belgium	156	59	819130	331546	8211	1410
w004	Week 4	2019-01-21	2019-01-27	BE	Belgium	136	52	705087	239156	5982	1297
w003	Week 3	2019-01-14	2019-01-20	BE	Belgium	129	46	668688	286140	4395	1749
w002	Week 2	2019-01-07	2019-01-13	BE	Belgium	110	40	467859	155169	2337	329
w001	Week 1	2019-01-01	2019-01-06	BE	Belgium	86	32	1424797	697656	7737	1681
